Charging Start Time,Charging Duration (minutes),Energy Delivered (kWh)
2025-12-12T06:04:51-05:00,104.68333333333334,11.0
2025-12-12T07:59:26-05:00,189.13333333333333,30.2
2025-12-12T11:49:47-05:00,198.85,20.6
2025-12-12T15:23:56-05:00,174.31666666666666,28.3
2025-12-12T18:34:20-05:00,89.08333333333333,9.8
2025-12-12T20:06:35-05:00,0.25,0
2025-12-12T20:23:23-05:00,142.05,22.9
2025-12-12T22:53:54-05:00,121.65,19.8
2025-12-13T05:24:51-05:00,190.83333333333334,29.9
2025-12-13T09:01:09-05:00,145.81666666666666,23.4
2025-12-13T11:28:59-05:00,130.01666666666668,21.0
2025-12-13T14:02:42-05:00,77.55,12.5
2025-12-13T16:32:29-05:00,83.46666666666667,8.6
2025-12-13T18:22:23-05:00,588.1,44.1
2025-12-14T09:24:32-05:00,93.15,14.0
2025-12-14T11:39:08-05:00,209.11666666666667,33.7
2025-12-14T15:11:02-05:00,233.53333333333333,37.1
2025-12-14T19:06:23-05:00,169.5,22.2
2025-12-14T22:33:47-05:00,49.7,8.0
2025-12-15T04:12:01-05:00,442.6166666666667,36.7
2025-12-15T12:05:48-05:00,114.1,18.4
2025-12-15T14:50:29-05:00,182.6,29.5
2025-12-15T18:01:24-05:00,173.25,19.3
2025-12-15T21:00:06-05:00,204.31666666666666,33.1
2025-12-16T00:45:18-05:00,75.73333333333333,8.4
2025-12-16T02:03:18-05:00,337.4166666666667,28.2
2025-12-16T08:40:06-05:00,282.25,29.0
2025-12-16T15:44:04-05:00,202.18333333333334,16.8
2025-12-16T19:28:40-05:00,216.7,24.0
2025-12-16T23:18:02-05:00,305.05,49.3
2025-12-17T07:04:46-05:00,95.01666666666667,10.4
2025-12-17T12:10:45-05:00,138.05,21.9
2025-12-17T16:06:08-05:00,351.3833333333333,38.4
2025-12-17T22:19:05-05:00,147.3,17.5
2025-12-18T09:16:24-05:00,264.43333333333334,29.3
2025-12-18T14:08:26-05:00,174.2,14.2
2025-12-18T17:22:26-05:00,310.5833333333333,49.9
2025-12-18T23:38:36-05:00,336.85,36.8
2025-12-19T06:21:48-05:00,228.21666666666667,18.9
2025-12-19T11:07:28-05:00,195.6,21.5
2025-12-19T14:40:35-05:00,194.03333333333333,21.8
2025-12-19T18:21:07-05:00,29.8,3.2
2025-12-19T19:03:14-05:00,72.21666666666667,7.9
2025-12-19T20:50:39-05:00,99.53333333333333,11.0
2025-12-19T23:41:17-05:00,54.583333333333336,8.8
2025-12-20T06:39:49-05:00,181.18333333333334,29.0
2025-12-20T10:29:59-05:00,55.36666666666667,8.8
2025-12-20T12:21:23-05:00,187.3,30.1
2025-12-20T15:34:03-05:00,270.3666666666667,28.3
